Sector,Subsector,Primary Property Type - Self Selected,Largest Property Use Type,Property GFA - Self-Reported (m²),Number of Buildings,Electricity Use - Grid Purchase (GJ),Natural Gas Use (GJ),Other_Fuels_GJ,District_Energy_GJ,Has_NaturalGas,Has_Electricity,Total (Location-Based) GHG Emissions (Metric Tons CO2e)
Municipal,Municipality,Museum,Other - Entertainment/Public Assembly,259.9,1,15.4,56.9,0.0,0.0,1,1,3.01
Municipal,Municipality,Museum,Other - Entertainment/Public Assembly,290.0,1,45.4,12.5,0.0,0.0,1,1,1.08
Municipal,Municipality,Museum,Other - Entertainment/Public Assembly,292.0,1,16.8,69.9,0.0,0.0,1,1,3.68
Municipal,Municipality,Other,Other - Public Services,609.9,2,178.3,419.3,0.0,0.0,1,1,22.85
Municipal,Municipality,Other - Public Services,Other - Entertainment/Public Assembly,290.0,1,12.3,128.5,0.0,0.0,1,1,6.58
Municipal,Municipality,Indoor Arena,Other - Recreation,13471.0,1,10248.5,10083.7,0.0,0.0,1,1,609.25
Municipal,Municipality,Drinking Water Treatment & Distribution,Drinking Water Treatment & Distribution,65.0,1,262.5,,0.0,0.0,0,1,2.63
Municipal,Municipality,Other - Public Services,Other - Public Services,250.8,1,153.0,,0.0,0.0,0,1,1.53
Municipal,Municipality,Wastewater Treatment Plant,Wastewater Treatment Plant,139.4,1,1191.9,,0.0,0.0,0,1,11.92
Municipal,Municipality,Community Center and Social Meeting Hall,Community Center and Social Meeting Hall,1077.7,1,452.9,750.5,0.0,0.0,1,1,42.25
Municipal,Municipality,Drinking Water Treatment & Distribution,Other - Public Services,37.2,1,303.8,,0.0,0.0,0,1,3.04
Municipal,Municipality,Drinking Water Treatment & Distribution,Drinking Water Treatment & Distribution,139.4,1,612.5,,0.0,0.0,0,1,6.13
Municipal,Municipality,Drinking Water Treatment & Distribution,Other - Public Services,864.0,1,155.0,,0.0,0.0,0,1,1.55
Municipal,Municipality,Drinking Water Treatment & Distribution,Drinking Water Treatment & Distribution,4503.8,1,2683.0,1314.5,0.0,0.0,1,1,92.89
Municipal,Municipality,Drinking Water Treatment & Distribution,Other - Public Services,37.2,1,27.8,19.5,0.0,0.0,1,1,1.26
Municipal,Municipality,Community Center and Social Meeting Hall,Office,167.2,1,510.0,,0.0,0.0,0,1,5.1
Municipal,Municipality,Office,Office,2666.3,1,1739.8,815.6,0.0,0.0,1,1,58.39
Municipal,Municipality,Police Station,Police Station,130.0,1,30.7,46.8,0.0,0.0,1,1,2.66
Municipal,Municipality,Other,Other - Public Services,9.3,1,0.5,,0.0,0.0,0,1,0.0
Municipal,Municipality,Drinking Water Treatment & Distribution,Drinking Water Treatment & Distribution,9.3,1,71.9,,0.0,0.0,0,1,0.72
Municipal,Municipality,Other - Public Services,Other - Public Services,418.1,1,22.1,,0.0,0.0,0,1,0.22
Municipal,Municipality,Fire Station,Fire Station,325.0,1,42.1,175.6,0.0,0.0,1,1,9.25
Municipal,Municipality,Fire Station,Fire Station,650.0,1,75.7,388.7,0.0,0.0,1,1,20.29
Municipal,Municipality,Fire Station,Fire Station,385.9,1,41.7,112.7,0.0,0.0,1,1,6.08
Municipal,Municipality,Fire Station,Fire Station,314.9,1,25.5,69.9,0.0,0.0,1,1,3.77
Municipal,Municipality,Fire Station,Fire Station,288.0,1,22.9,,246.0,0.0,0,1,15.24
Municipal,Municipality,Fire Station,Fire Station,418.1,1,61.0,87.0,0.0,0.0,1,1,4.98
Municipal,Municipality,Fire Station,Fire Station,1737.3,1,580.2,1151.2,0.0,0.0,1,1,63.66
Municipal,Municipality,Community Center and Social Meeting Hall,Community Center and Social Meeting Hall,3299.0,1,686.7,1698.7,0.0,0.0,1,1,92.23
Municipal,Municipality,Other - Public Services,Other - Public Services,10.3,1,0.9,,0.0,0.0,0,1,0.01
Municipal,Municipality,Other - Recreation,Other - Recreation,139.4,1,34.6,28.2,0.0,0.0,1,1,1.76
Municipal,Municipality,Office,Office,282.4,1,128.7,69.4,0.0,0.0,1,1,4.78
Municipal,Municipality,Other - Public Services,Other - Public Services,602.9,1,12.5,,0.0,0.0,0,1,0.12
Municipal,Municipality,Drinking Water Treatment & Distribution,Other - Public Services,11.1,1,46.7,,0.0,0.0,0,1,0.47
